Season,Episode,Title,Airdate,Synopsis,Director,Writers
2,23,Twilight,"May 24, 2005.","Two sailors are found in a car, both men having been shot dead at close range and as the NCIS team investigate, they discover that a figure from their past is back with a vengeance and the team soon find possible evidence of a possible terrorist plot in Norfolk with the final outcome leaving the NCIS team changed forever when one of their own is brutally murdered.",Thomas J. Wright,John C. Kelley
3,1,Kill Ari Part 1,"September 20, 2005.","Following Caitlin Todd's tragic and unexpected murder at the hands of rogue terrorist and spy Ari Haswari which happened in the last few seconds of the previous episode, the main NCIS Major Case Response Team now find themselves struggling to come to terms with the life-changing event while trying to find Ari but Gibbs, however, having had enough of federal agencies covering Ari's back is more interested in avenging Kate's murder by doing the one thing possible: killing Ari while a Mossad officer arrives at NCIS, Gibbs suspicious of her intentions while a woman from Gibbs's past, joins the agency, having been appointed the new NCIS Director, replacing Thomas Morrow as Ari returns, intent on ending his feud with Gibbs once and for all.",Dennis Smith,Donald P. Bellisario
3,2,Kill Ari Part 2,"September 27, 2005.","With Ducky having been taken hostage in place of Gerald Jackson who was kidnapped at the end of the previous episode, Gibbs and the rest of the NCIS team race against time to find Ducky before he too ends up dead. As the team continue to struggle to solve the case while battling with their own feelings over Kate's murder, Gibbs is still obsessed with avenging Kate by any means necessary, even if the other federal agencies including NCIS don't believe that Ari was the one who murdered Kate while Ziva is beginning to have doubts about Ari being innocent and she may be the key to stopping Ari's rampage once and for all.","James Whitmore, Jr",Donald P. Bellisario
3,3,Mind Games,"October 4, 2005.","A psychopathic serial killer who murdered several young women while carving a mark in their backs as well as taking their tongues as trophies is scheduled for execution in three days. In despair, the local authorities have granted him temporary release in hopes that he'll tell the families of the victims he killed where he buried their loved ones but the killer is only interested in talking to the one person who arrested him: NCIS Special Agent Leroy Jethro Gibbs. However, while investigating the case, Gibbs and the team come across disturbing evidence that suggests that a copycat is still carrying on the killer's legacy despite the killer having been on Death Row. The stakes are raised when Paula Cassidy who has joined the team on a temporary basis in the aftermath of Kate's death is kidnapped by the copycat, forcing the team into a desperate race against time as they seek to save her from the copycat's clutches while also ensuring that the serial killer's execution goes ahead as planned.",William Webb,Jeffrey Kirkpatrick & John C. Kelley
3,4,Silver War,"October 11, 2005.","During the filming of a documentary, the body of a deceased Marine is found in a Civil-War era sarcophagus at the Smithsonian museum and Ducky soon discovers that the young Marine was not shot with a musket ball but was buried alive which eventually led to his death by suffocation. The team then set out to find out who is responsible, bringing them into conflict with a rogue Civil War group led by a familiar face while as the team still struggle to come to terms with the loss of one of their own, Ziva David returns but the newly appointed Mossad/NCIS Liaison Officer faces antagonism from her new work colleagues who are not exactly pleased at her joining the team.",Terrence O'Hara,John C. Kelley & Joshua Lurie
3,5,Switch,"October 18, 2005.","A Petty Officer is gunned down while talking to his wife on the phone but when Tony and Ziva inform the victim's C.O of the death, they discover that another man is posing as the victim. This leads the NCIS team into a possible case of mistaken identity, only to find that the victim left them a message before he died about who killed him.",Thomas J. Wright,Gil Grant
3,6,The Voyeur's Web,"October 25, 2005.","While performing a strip-tease to an Internet crowd, a Marine Sergeant's wife is killed but when Gibbs and the team investigate after hearing from Carr's neighbors that no one's seen her for two weeks, they discover that Carr's body is missing. Things take a turn when it's revealed that Carr's neighbor has also disappeared and it's soon discovered that the two women were members of a live internet sex site they created while their husbands were away serving in Iraq. Roberts's body is later found but Carr is still missing although Abby with the help of her new assistant soon determines that the video of Carr being supposedly murdered is not what it appears to be.",Dennis Smith,David J. North
3,7,Honor Code,"November 1, 2005.","When a Lieutenant Commander disappears, his young son contacts NCIS and begs them to help find and save his father. ",Colin Bucksey,Christopher Silber
3,8,Under Covers,"November 8, 2005.","When the bodies of a murdered assassin and his wife are taken to NCIS, an undercover operation when it's discovered the victims had reservations at a hotel where the United States Marine Corps birthday ball is scheduled to be held which means that someone at the ball could be a target with Tony and Ziva going undercover, posing as the two married assassins as they attempt to discover who hired them but it's soon revealed that there's more to the case than meets the eye.",Aaron Lipstadt,Lee David Zlotoff
3,9,Frame-Up,"November 22, 2005.","When a pair of legs belonging to an unidentified woman are discovered on a Marine base, the team are left stunned when the evidence points towards Tony as the one responsible for the death. This revelation forces the case to be turned over to the FBI with Tobias Fornell leading the investigation. In the meantime, the team go through a long list of people with grudges against Tony as they attempt to clear his name, only to discover that an unlikely person is truly responsible.",Thomas J. Wright,Laurence Walsh
3,10,Probie,"November 29, 2005.","While serving as protection detail for the Chief of Naval Operations, all Hell breaks loose when McGee, having spotted an argument occurring in a darkened alleyway nearby, shoots one of the men. Things take a shocking turn when it's revealed that the victim is actually a Detective who was working undercover for the Metro Police Department, which has the victim's captain and the victim's partner arriving at NCIS to conduct their own investigation on what happened. The team believe that McGee made a mistake but Gibbs has his suspicions about the meeting that apparently took place.",Terrence O'Hara,George Schenck & Frank Cardea
3,11,Model Behavior,"December 13, 2005.","When a supermodel participating in a reality TV program is found dead, the NCIS team investigate.",Stephen Cragg,David J. North
3,12,Boxed In,"January 10, 2006.","While searching the Norfolk Docks for a container that allegedly has illegal weapons, Tony and Ziva come under fire from hostile forces and take cover in a container which the two are soon locked in. Gibbs, McGee and Abby begin searching for them with the help of the local security office. While inside, Tony and Ziva soon uncover the numerous crates containing DVD movies actually have counterfeit money but upon being taken to a warehouse, the two find themselves engaging with a terrorist and his men who demands that they surrender. However, it's soon discovered that a familiar figure is in league with the terrorists and with time running out, Gibbs and McGee must find Tony and Ziva and stop the bad guys before it's too late.",Dennis Smith,Dana Coen
3,13,Deception,"January 17, 2006.","A Navy Lieutenant Commander in charge of a shipment of nuclear weapons disappears under mysterious circumstances with the possibility that she was abducted. Gibbs and the team are summoned into the office on a Sunday to save the Commander. During the investigation, they dig into the Commander's life and discover that she was a member of an organization dedicated to combating online pedophilia and that her intended target might have been responsible for her kidnapping, only to discover that an unlikely figure is the one they're looking for.",Leslie Libman,Jack Bernstein
3,14,Light Sleeper,"January 24, 2006.","The NCIS team investigate when the bodies of two Marine wives are discovered in a house on a Navy Base with evidence revealing that both women have been shot dead. As they search for the killer, the team discover that the two victims along with the woman who discovers them and a fourth person are part of a sleeper cell that is linked to North Korea but not everything is what it appears to be.",Colin Bucksey,Christopher Silber
3,15,Head Case,"February 7, 2006.","The NCIS team raid an illegal chop shop operated by a group of Navy sailors where Ziva makes a grim discovery in which she finds a severed human head inside a cooler in one of the recently stolen cars. This later prompts the team to launch an investigation but what should be a simple case soon becomes complicated when Tony, McGee and Ziva find a warehouse storing human body parts, sending the team on a quest to find the remaining body parts belonging to the Captain and ensure those truly responsible for what happened are brought to justice.",Dennis Smith,George Schenck & Frank Cardea
3,16,Family Secret,"February 28, 2006.","The team investigate when an ambulance carrying the body of a Marine who recently died in an accident explodes without warning. However, things take a turn when Ducky confirms that the DNA lifted from the body doesn't match the dead Marine, resulting in the team launching an investigation as to who could have been responsible for the ambulance's explosion and the reasons behind it.","James Whitmore, Jr",Steven D. Binder
3,17,Ravenous,"March 7, 2006.",NCIS is called in after a group of teenagers discover the half-eaten body of a Navy Petty Officer in a park but things take a turn when Ducky reveals that the victim died after being stabbed and that he was already dead. The team discover that the victim was with a woman who has also disappeared but the case descends into a nightmare when further investigation reveals that numerous deaths in the park which were all ruled accidental or natural might not be those after all which has Gibbs fearing the worst: a serial killer is on the loose in the park and they're using the deaths to cover up a much worse crime: murder.,Thomas J. Wright,Richard Arthur
3,18,Bait,"March 14, 2006.","NCIS are called in when the teenage son of a Marine Major arrives in school with a bomb strapped to his body and takes his classroom hostage with one simple demand: bring his mother to the classroom before sunset. But the investigation soon takes a turn when the team discover that she's dead, having seemingly drowned in a boating accident the year before and they begin to suspect that someone else is manipulating the youngster.",Terrence O'Hara,Laurence Walsh
3,19,Iced,"April 4, 2006.","While playing on a frozen pond, two brothers discover a dead Marine underneath the ice, prompting the main NCIS team to be called in to investigate. While processing the scene, the team also discover the bodies of three dead gang members who are later identified as being part of a dangerous street gang, La Vida Mala or LVM for short. The team soon discover that it could be connected to the fact that the gang accidentally killed another Marine a year previously while they attempt to find out who was responsible for the Marine and the gang-bangers' deaths.",Dennis Smith,Dana Coen
3,20,Untouchable,"April 18, 2006.","The team investigate when a Navy Lieutenant who was working at the Pentagon's cryptography department is found dead in her home, having apparently committed suicide. It looks like a simple case until Abby discovers evidence strongly suggesting that there was someone else in the room with the Lieutenant when she died.",Leslie Libman,Frank Cardea & George Schenck
3,21,Bloodbath,"April 25, 2006.","A routine case for the NCIS team involving a trashed hotel room at a Navy Lodge quickly turns personal when Abby is the victim of an assassination attempt involving cyanide gas while working in her lab, prompting the team to search for answers and uncover the identity of the person who wants Abby dead.",Dennis Smith,Steven D. Binder
3,22,Jeopardy,"May 2, 2006.","A drug seizure for the team goes disastrously wrong when the suspect dies while in Ziva's custody, resulting in Ziva becoming the prime suspect in the investigation into the man's death. Things later take a dramatic turn when Jenny is kidnapped by the victim's brother who then contacts NCIS with an ultimatum: his brother and drugs must be returned to him within two hours or Jenny will die. With the deadline looming and time against them, the team along with Agent Cassie Yates must find and rescue Jenny before it's too late.","James Whitmore, Jr",David J. North
3,23,Hiatus Part 1,"May 9, 2006.","While talking to an undercover agent on a suspicious foreign ship, a bomb explodes, killing the agent and resulting in Gibbs being left badly wounded. While comatose in the hospital, Gibbs remembers his first wife and his daughter and their deaths, along with his wounding in Desert Storm and how he went from being a Gunnery Sergeant in the United States Marine Corps to an NIS/NCIS Special Agent. While Tony assumes temporary command as a result of Gibbs being injured, the team continue to search for PinPin Pula who is believed to be a member of the terrorist group Abu Sayyaf.",Dennis Smith,Donald P. Bellisario
3,23,Hiatus Part 2,"May 16, 2006.","As Gibbs struggles to cope with the effects of awakening from his coma which has left him with amnesia, Tony and the rest of the NCIS team attempt to locate a terrorist and also find themselves racing to stop a potentially devastating attack from occurring.",Dennis Smith,Donald P. Bellisario
4,1,Shalom,"September 19, 2006.","On her way into work, Ziva witnesses a Mossad-style assassination being carried out that results in the death of a Syrian colonel wanted for crimes against Israel and the two FBI agents guarding him. Now with her car having been abandoned at the crime scene, Ziva goes into hiding after becoming the prime suspect. Facing resistance from the FBI, her NCIS colleagues decide to investigate but all is not what it appears to be.",William Webb,John C. Kelley & Donald P. Bellisario
4,2,Escaped,"September 26, 2006.","A former Petty Officer who was jailed for his involvement in a theft ends up escaping prison and threatens the lives of both FBI agent Tobias Fornell and Fornell's daughter, Emily. This prompts Fornell to call on a retired Gibbs and the NCIS team for help. After their car is stolen, the team are forced to reopen the original case and as they dig into the case, they soon discover that someone else is the true mastermind.",Dennis Smith,Steven D. Binder & Christopher Silber
4,3,Singled Out,"October 3, 2006.","The team investigate the disappearance of a Navy Lieutenant who is a computer specialist and who they believe may have been kidnapped. As they race to save her and arrest her abductors as well as the lead criminal, they discover that something much bigger is going on. ",Terrence O'Hara,David J. North
