Name,Portrayed by,Role,Season
Timothy McGee,Sean Murray,NCIS Senior Special Agent who is the second in command of the team.,17
Nicholas Torres,Wilmer Valderrama,NCIS Special Agent.,17
Eleanor Bishop,Emily Wickersham,NCIS Special Agent.,17
Jacqueline Sloane,Maria Bello,NCIS Forensic Psychologist.,17
James Palmer,Brian Dietzen,NCIS Chief Medical Examiner.,17
Kasie Hines,Diona Reasonover,NCIS Forensic Scientist.,17
Leon Vance,Rocky Carroll,NCIS Director.,17
Donald Mallard,David McCallum,NCIS Historian and Archivist.,17
Leroy Jethro Gibbs,Mark Harmon,"NCIS Special Agent in Charge. Is later suspended during ""Watchdog"".",18
Timothy McGee,Sean Murray,NCIS Senior Special Agent.,18
Nicholas Torres,Wilmer Valderrama,NCIS Special Agent.,18
Eleanor Bishop,Emily Wickersham,"NCIS Special Agent. Left after the finale episode, ""Rule 91"".",18
Jacqueline Sloane,Maria Bello,"NCIS Forensic Psychologist. Left after ""True Believer"".",18
James Palmer,Brian Dietzen,NCIS Chief Medical Examiner.,18
Kasie Hines,Diona Reasonover,NCIS Forensic Scientist.,18
Leon Vance,Rocky Carroll,NCIS Director.,18
Donald Mallard,David McCallum,NCIS Historian and Archivist,18
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in Charge. Resigned. Episodes 1–4 only.,19
Timothy McGee,Sean Murray,NCIS Senior Special Agent.,19
Nicholas Torres,Wilmer Valderrama,NCIS Special Agent.,19
Jessica Knight,Katrina Law,NCIS Special Agent who is also a former REACT Agent.,19
James Palmer,Brian Dietzen,Chief Medical Examiner and a former Medical Assistant.,19
Kasie Hines,Diona Reasonover,NCIS Forensic Specialist.,19
Donald Mallard,David McCallum,NCIS Historian who is also a former Chief Medical Examiner.,19
Leon Vance,Rocky Carroll,Director of NCIS.,19
Alden Parker,Gary Cole,NCIS Special Agent in Charge and a former FBI Special Agent. Episode 2– present.,19
Timothy McGee,Sean Murray,NCIS Senior Special Agent.,20
Nicholas Torres,Wilmer Valderrama,NCIS Special Agent.,20
Jessica Knight,Katrina Law,NCIS Special Agent.,20
James Palmer,Brian Dietzen,NCIS's Chief Medical Examiner.,20
Kasie Hines,Diona Reasonover,NCIS's Chief Forensic Scientist.,20
Donald Mallard,David McCallum,NCIS Historian.,20
Leon Vance,Rocky Carroll,NCIS Director.,20
Alden Parker,Gary Cole,NCIS Special Agent in Charge.,20
Timothy McGee,Sean Murray,NCIS Senior Special Agent.,21
Nicholas Torres,Wilmer Valderrama,NCIS Special Agent.,21
Jessica Knight,Katrina Law,NCIS Special Agent.,21
James Palmer,Brian Dietzen,NCIS's Chief Medical Examiner.,21
Kasie Hines,Diona Reasonover,NCIS's Chief Forensic Scientist.,21
Donald Mallard,David McCallum,"NCIS Historian. Deceased as of ""The Stories We Leave Behind""",21
Leon Vance,Rocky Carroll,NCIS Director.,21
Alden Parker,Gary Cole,NCIS Special Agent in Charge.,21
