name,actor,role,cast,episode_key
Charlie,Gregory Itzin,Director of the Federal Bureau of Investigation.,Recurring_Cast,1x3
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x3
Tobias Fornell,Joe Spano,Agent with the FBI.,Recurring_Cast,1x3
Kent Fuller,William R. Moses,An agent with the Drug Enforcement Agency.,Guest_Cast,1x3
Darryl Wilkins,Joe Torry,African-American gang leader.,Guest_Cast,1x3
Frank Trujillo,Benny Nieves,Gang leader and Wilkins's rival.,Guest_Cast,1x3
Diane Fontaine,Elena Lyons,Reporter.,Guest_Cast,1x3
Marcy Carruthers,Merle Dandridge,Agent with the United States Secret Service and one of Kate Todd's friends.,Guest_Cast,1x3
Bobby Jackson,Sam Sarpong,One of the players that Gibbs confronts in the temporary vacant basketball court.,Guest_Cast,1x3
Basketball Player,Dempsey Pappion,A man who appears in the episode.,Guest_Cast,1x3
Dave Simmons,Chris Olivero,A college student.,Guest_Cast,1x3
Sarah Fuentes,Melissa Lee,Another student at the beach party.,Guest_Cast,1x3
Seth Shakir,Homie Doroodian,A terrorist.,Guest_Cast,1x3
Jenny,Jodi Bianca Wise,One of the girls Tony interviews about the boat.,Guest_Cast,1x3
Nancy,Emilie de Ravin,Jenny's friend.,Guest_Cast,1x3
Carlos,Miguel A. Gaetan,A man who appears in the episode. Uncredited role.,Guest_Cast,1x3
Tom Bradstone,Dar Dixon,Captain in the U.S. Army and also an Army CID Officer.,Guest_Cast,1x3
Linn,Mark Holton,Sergeant in the U.S. Army.,Guest_Cast,1x3
Office Girl,Julie Berlin,Uncredited role.,Guest_Cast,1x3
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x3
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x3
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x3
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x3
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x3
Rivers,Mark Sivertsen,The Commander of the USS Foster and also a Commander in the United States Navy.,Guest_Cast,1x4
Robbins,David Andriole,Lieutenant Commander in the United States Navy.,Guest_Cast,1x4
Reynolds,Kieran Mulroney,Deceased Seaman Russell MacDonald's C.O. and also a Lieutenant in the United States Navy.,Guest_Cast,1x4
Ray,Colin Bain,Ensign in the United States Navy.,Guest_Cast,1x4
Morris,Eamon Hunt,Chief Petty Officer in the United States Navy.,Guest_Cast,1x4
Ronald Zuger,Julian Bailey,Petty Officer in the United States Navy.,Guest_Cast,1x4
Carnahan,Bradley Snedeker,Petty Officer in the United States Navy.,Guest_Cast,1x4
Murray,Casey Nelson,Petty Officer in the United States Navy.,Guest_Cast,1x4
Russell MacDonald,Chad W. Murray,The victim and a Seaman in the United States Navy.,Guest_Cast,1x4
Elizabeth MacDonald,Brooks Almy,Navy Seaman Russell MacDonald's mother.,Guest_Cast,1x4
Medical Corpsman,Elizabeth Morehead,Cameo or Minor Role,Guest_Cast,1x4
Pathology Assistant,Adam Vanderwielen,A man who helps Ducky with the on-scene exam.,Guest_Cast,1x4
Brad,Jeff Peterson,"One of the four teenagers. During a swim, he discovers the victim.",Guest_Cast,1x4
Kyle,Michael McLafferty,One of the four teenagers on vacation.,Guest_Cast,1x4
Lisa,Jeni C. Wilson,One of the four teenagers on vacation.,Guest_Cast,1x4
Ricki,Nina Alexander,One of the four teenagers on vacation.,Guest_Cast,1x4
Exchange Clerk,Yvonne DeLaRosa,Sold a ceremonial sword to an enlisted serviceman.,Guest_Cast,1x4
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x4
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x4
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x4
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x4
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x4
Richard Owens,David Ramsey,NCIS Special Agent who investigated the theft of the payroll aboard USS Eisenhower and the disappearance of Lieutenant Schilz.,Guest_Cast,1x5
Erin Toner,Melora Hardin,Former Petty Officer in the United States Navy.,Guest_Cast,1x5
Randy Wiles,Jim Pirri,Former co-worker of Lt. Schilz who ended up marrying Schilz's widow. Is a former Ensign in the United States Navy.,Guest_Cast,1x5
Mary Wiles,Lauren Bowles,Married to Randy Wiles and Lt. Mark Schilz's widow.,Guest_Cast,1x5
Mark Schilz,Travis Aaron Wade,Lieutenant in the United States Navy. Uncredited role.,Guest_Cast,1x5
Dan Lynch,Bill Birch,Senior State Trooper on the scene.,Guest_Cast,1x5
Greg Pallini,Jonathan Wade-Drahos,A Lieutenant in the United States Navy who is stationed on the USS Eisenhower.,Guest_Cast,1x5
John Deluca,Chris Ellis,Gunnery Sergeant in the United States Marine Corps and also Army CID. Uncredited role.,Guest_Cast,1x5
Ben,Robert Pine,Golfing companion of Erin Toner.,Guest_Cast,1x5
Deer Hunter,Tommy Hinkley,A man who discovered the mummified remains of the victim.,Guest_Cast,1x5
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x5
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x5
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x5
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x5
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x5
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x6
Stanley Burley,Joel Gretsch,Former NCIS Agent under Gibbs who is now NCIS Agent Afloat on the USS Enterprise.,Guest_Cast,1x6
Stovic,Sal Landi,Commander in the United States Navy and Skipper of the USS Enterprise.,Guest_Cast,1x6
Commander Stovic's Aide,John Littlefield,"A man who is the aide to Commander Stovic, the Commander of the USS Enterprise.",Guest_Cast,1x6
Norski,Jonathan Sadowski,The USS Enterprise's Urinalysis Co-ordinator and a Lieutenant Junior Grade in the United States Navy.,Guest_Cast,1x6
Reyes,Carlos Gomez,Chief Petty Officer in the United States Navy.,Guest_Cast,1x6
Bobby Wilkes,Charlie Hofheimer,Petty Officer First Class in the United States Navy.,Guest_Cast,1x6
Gil Niles,Jonathan T. Floyd,Petty Officer Second Class in the United States Navy.,Guest_Cast,1x6
Peter Shrewe,Anson Scoville,Petty Officer Second Class in the United States Navy.,Guest_Cast,1x6
Gomez,Eddie Diaz,Petty Officer in the United States Navy.,Guest_Cast,1x6
Seaman,Robert Baker,A man who gives Kate instructions on how to get to the Dock 5 section of the USS Enterprise. Is also a Seaman in the United States Navy.,Guest_Cast,1x6
Flight Surgeon,Larry Sullivan,A Doctor on the USS Enterprise.,Guest_Cast,1x6
Milano,Corbin Allred,A Corpsman assigned to the USS Enterprise who helps the Flight Surgeon.,Guest_Cast,1x6
Clerk,Alex Avant,An African-American man seen working on the USS Enterprise's flight deck under Chief Petty Officer Reyes.,Guest_Cast,1x6
Air Boss,Bruno Gunn,A man in charge of the flight deck on the USS Enterprise.,Guest_Cast,1x6
Handler,Monti Sharp,Presumably assigned to the USS Enterprise.,Guest_Cast,1x6
Crewman,Gil McKinney,A crewman assigned to the USS Enterprise.,Guest_Cast,1x6
Boyfriend,Rigo Sanchez,A Hispanic man Petty Officer Bobby Wilkes accidentally bumped into while under the influence of some meth.,Guest_Cast,1x6
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x6
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x6
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x6
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x6
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x6
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x7
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base who calls Gibbs and his team for help in investigating the gruesome discovery of a melted body in a barrel of acid.,Guest_Cast,1x7
Chief of the Boat,Peter Onorati,A Navy Officer assigned to the U.S.S. Philadelphia.,Guest_Cast,1x7
Robert Peters,Glenn Morshower,Commander of the U.S.S. Philadelphia.,Guest_Cast,1x7
Veitch,Ben Murphy,Captain in the United States Navy who is assigned to the Norfolk Naval Base.,Guest_Cast,1x7
Akron,Michael Lowry,Lieutenant Commander in the United States Navy and also the XO/second in command of the U.S.S. Philadelphia.,Guest_Cast,1x7
Crewman,James R. Black,A security guard assigned to the Norfolk Naval Base.,Guest_Cast,1x7
Thompson,Eric Ladin,A Petty Officer in the United States Navy who is assigned to the U.S.S. Philadelphia.,Guest_Cast,1x7
Sean Travis,David Monahan,An eco-terrorist posing as Petty Officer Drew.,Guest_Cast,1x7
Connors,J. Robin Miller,A Lieutenant in the United States Navy who's stationed at the Norfolk Naval Base.,Guest_Cast,1x7
Mr. Walters,Mik Scriba,A dock worker at the Norfolk Naval Base.,Guest_Cast,1x7
Jeb,David O'Donnell,Waste Specialist.,Guest_Cast,1x7
Air Transport Officer,Reed Rudy,An officer on the U.S.S. Enterprise who had a brief talk with Gibbs and Kate who were on their way to the U.S.S. Philadelphia.,Guest_Cast,1x7
Mess Specialist,Mat Hostetler,An officer of the U.S.S. Philadelphia who delivered ice-cream to Gibbs and Kate.,Guest_Cast,1x7
Seaman Apprentice,Jamie Moss,A man presumably assigned to the U.S.S. Philadelphia.,Guest_Cast,1x7
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x7
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x7
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x7
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x7
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x7
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x8
Paula Cassidy,Jessica Steen,NCIS Agent and interrogator at Gitmo.,Guest_Cast,1x8
William Gamal,Erick Avari,An agent with the FBI.,Guest_Cast,1x8
Dan McClafferty,Kevin McCorkle,An Army Captain assigned to Gitmo.,Guest_Cast,1x8
Jimmy,Michael Shamus Wiles,A bartender who works at a nightclub at Gitmo.,Guest_Cast,1x8
Benjamin Frank,Heath Freeman,A gemmologist and Abby's former boyfriend.,Guest_Cast,1x8
Nassir Al-Jazair,Joseph Bey,A recent arrival to Gitmo who's tasked with killing a prisoner who has links to Osama bin Laden.,Guest_Cast,1x8
Tariq Abassi,Hrach Titizian,The son-in-law who Nasser Al Jazair is tasked with killing.,Guest_Cast,1x8
Biker Chick,Casey McCarthy,A tattooed biker girl seen at the beginning of the episode.,Guest_Cast,1x8
Wayne,Paul Vinson,Biker Chick's boyfriend.,Guest_Cast,1x8
M.P,E. Roger Mitchell,A Military Police Officer who's assigned to Gitmo.,Guest_Cast,1x8
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x8
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x8
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x8
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x8
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x8
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x9
Thomas Morrow,Alan Dale,Director of NCIS.,Recurring_Cast,1x9
Jack Canton,Erich Anderson,A rogue CIA agent.,Guest_Cast,1x9
Walsh,Richard Brooks,Lieutenant Colonel in the United States Marine Corps and Jim Kidwell and Craig Peary's C.O.,Guest_Cast,1x9
Bob,John Rubinstein,One of the many Directors for the CIA.,Guest_Cast,1x9
Gonzales,Carlos Sanz,Canton's partner.,Guest_Cast,1x9
Danny O'Donnell,Jason Brooks,Jim Kidwell's friend who is also a Major in the United States Marine Corps.,Guest_Cast,1x9
Zack,Victor Bonavida,A young boy who is presumably the son of Marine Major Craig Peary.,Guest_Cast,1x9
Lisa Peary,Rebecca Boyd,Craig Peary's wife.,Guest_Cast,1x9
Craig Peary,Ron Baker,A Major in the United States Marine Corp and an unofficial CIA agent.,Guest_Cast,1x9
Sarah Kidwell,Jennifer Tighe,Jim Kidwell's wife.,Guest_Cast,1x9
Laura,Crystal Allen,"A mourner at Jim Kidwell's ""funeral"".",Guest_Cast,1x9
James Travis,Michael Sarysz,A Corporal in the United States Marine Corps assigned to the Marine Base at Quantico.,Guest_Cast,1x9
Crew Chief,George Stumpf,"A man who was a member of the crew of the late-night flight Gibbs, Kate and Tony take to get to Colombia to rescue Craig Peary.",Guest_Cast,1x9
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x9
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x9
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x9
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x9
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x9
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x10
Andy Kochofis,Asante Jones,Detective with the Metro Police Department.,Recurring_Cast,1x10
Suzanne McNeil,Sherilyn Fenn,A young woman who's the victim of a murder attempt and who suffers from amnesia after being buried alive.,Guest_Cast,1x10
Stephen Brauer,Derek de Lint,Suzanne McNeil's boss and also her lover.,Guest_Cast,1x10
Rutger,Norbert Weisser,Doctor.,Guest_Cast,1x10
Diggar Aldridge,Kenneth Tigar,The Medical Examiner for the Metro Police Department.,Guest_Cast,1x10
Joel Sanderson,Jim Rash,A doctor who helps treat Jane Doe/Suzanne McNeil.,Guest_Cast,1x10
Tom Verne,Al Espinosa,A man who appears in the episode.,Guest_Cast,1x10
Hotel Manager,Phil Abrams,The manager of the Jackson hotel.,Guest_Cast,1x10
Saleswoman,Daniella Kuhn,A saleswoman in the clothes store that Kate and Jane Doe go to.,Guest_Cast,1x10
Walter Richter,Michael Rose,A worker at the bomb-making company Jane Doe/Suzanne McNeill works at.,Guest_Cast,1x10
Blonde Chemist,Elena Jovis,A young woman who Tony hits on while he and Gibbs are visiting the bomb making company. Uncredited role.,Guest_Cast,1x10
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x10
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x10
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x10
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x10
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x10
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x11
Timothy McGee,Sean Murray,An NCIS Special Agent assigned to the Norfolk Naval Base.,Recurring_Cast,1x11
Mrs. Egan,Katy Boyer,"Lieutenant in the United States Navy who's responsible for the murder of her husband, Navy Lieutenant Commander Thomas Egan.",Guest_Cast,1x11
Jonathan Overmeier,Bruce Gray,The head of the company that murder victim Thomas Egan was working for.,Guest_Cast,1x11
Lauren Tyler,Marguerite MacIntyre,A Commander in the United States Navy who had an affair with Thomas Egan.,Guest_Cast,1x11
Roper,James Morrison,The Assistant Director of the CIA.,Guest_Cast,1x11
Ashton,Victor McCay,A satellite tech for NASA.,Guest_Cast,1x11
Jeremy Worth,Greg Zola,A satellite tech for the CIA who witnesses Thomas Egan's death.,Guest_Cast,1x11
Ben Richmond,Parry Shen,Another satellite tech who along with his friend Jeremy Worth saw Thomas Egan being murdered.,Guest_Cast,1x11
Gina,Mercedes Colon,A Petty Officer in the United States Navy.,Guest_Cast,1x11
Sparks,Patrick Macmanus,A Seaman Apprentice stationed at Little Creek Naval Base.,Guest_Cast,1x11
Gym Manager,Howard Dell,The manager for the Little Creek Naval Base Gym.,Guest_Cast,1x11
Roe,John Marrott,Master Chief Petty Officer in the United States Navy who works at the Little Creek Naval Base.,Guest_Cast,1x11
Attractive Woman,Jane Hajduk,A woman seen working out at the Little Creek Naval Base Gym.,Guest_Cast,1x11
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x11
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x11
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x11
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x11
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x11
Melissa Dorn,Stacy Haiduk,Dr. Sylvia Chalmers's daughter and murdered Marine Thomas Dorn's half-sister.,Guest_Cast,1x12
Sylvia Chalmers,Bonnie Bartlett,A doctor in Harmony.,Guest_Cast,1x12
Brent Peters,Terry Rhoads,A Captain in the United States Navy.,Guest_Cast,1x12
Vestman,Dean Norris,A Gunnery Sergeant in the United States Marine Corps.,Guest_Cast,1x12
Stanley Borden,Tony Pasqualini,A Baltimore-based insurance adjuster.,Guest_Cast,1x12
Mr. Green,Tom McCleister,A junk collector who discovers the leg belonging to Thomas Dorn.,Guest_Cast,1x12
Sheriff,Josh Holloway,"The head of the local sheriff department in Clarksburg, West Virginia.",Guest_Cast,1x12
Darlene,Kim Wimmer,A receptionist at Chalmer's surgery.,Guest_Cast,1x12
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x12
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x12
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x12
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x12
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x12
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x13
Freddy Alvarez,Francesco Quinn,A Gunnery Sergeant in the United States Marine Corps who is Kyle Hendricks's first victim.,Guest_Cast,1x13
Dougherty,Michael Gaston,Freddy Alvarez's C.O.,Guest_Cast,1x13
Freedman,Andy Umberger,Agent with the FBI and also the head of the FBI team at the second crime scene.,Guest_Cast,1x13
Aaron Barnes,Brad Hawkins,A Sergeant in the United States Marine Corps.,Guest_Cast,1x13
Carl,T. J. Thyne,The manager of the toy warehouse.,Guest_Cast,1x13
Kyle Hendricks,Noah Segan,A self-taught sniper.,Guest_Cast,1x13
David Stenson,Geoff Meed,Corporal in the United States Marine Corps.,Guest_Cast,1x13
Potential Recruit 1,Zakk Moore,A young man.,Guest_Cast,1x13
Potential Recruit 2,Blake Shields,A young man.,Guest_Cast,1x13
Dave,Alex Solowitz,A potential recruit who is Leo's friend.,Guest_Cast,1x13
Leo,Chad Doreck,Dave's friend.,Guest_Cast,1x13
Guy Ross,Kent Shocknek,A reporter.,Guest_Cast,1x13
Debra Green,Sheila Frazier,A reporter.,Guest_Cast,1x13
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x13
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x13
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x13
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x13
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x13
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x14
Charlene Dupray,Stephanie Hodge,A Sheriff in Grayson County.,Guest_Cast,1x14
Laura Seeger,Heidi Dippold,One of the people responsible for murdering Navy personnel.,Guest_Cast,1x14
Linda,Heidi Dippold,Laura's twin sister and also a killer.,Guest_Cast,1x14
Margaret Green,Kate McNeil,A Commander in the United States Navy who's assigned to the local Base Clinic.,Guest_Cast,1x14
